Class Number,Class Name,Unique Number,Division,Days,Time,Location,Instructor,Flags,Core,Description
AAS,312 INTRO TO ASIAN AMERICAN HIST,32750,Lower,TTH,12:30 p.m.-2:00 p.m.,,,Cultural Diversity,U.S. History,
AAS,320D ASIAN AMERICAN MEDIA CULS,32755,Upper,TTH,2:00 p.m.-3:30 p.m.,CMA 3.120,"MALLAPRAGADA, MADHAVI",Cultural Diversity,,
AAS,325G HIST SE ASIAN DIASP IN US,32759,Upper,MWF,1:00 p.m.-2:00 p.m.,PAR 206,"GIBBS, KEVIN MASAKAZU",Cultural Diversity,U.S. History,
AAS,325J SOUTH ASIAN MIGRATION TO US,32760,Upper,TTH,12:30 p.m.-2:00 p.m.,WAG 420,"MEHTA, MOHIT P",Cultural Diversity,U.S. History,
AAS,325N ASIAN AMERICAN JURISPRUDENCE,32765,Upper,TTH,3:30 p.m.-5:00 p.m.,BIO 301,"JIN, ARNOLD R",Ethics Cultural Diversity,,
AAS,330D BLACKS/ASIANS: RACE/SOC MOV,32770,Upper,TTH,9:30 a.m.-11:00 a.m.,,"BHALODIA, AARTI R",Cultural Diversity,,
AAS,330E SOCIOLOGY OF RACE AND WORK,32774,Upper,TTH,3:30 p.m.-5:00 p.m.,BEN 1.102,"KIM, ALLISON ROBIN",Cultural Diversity,,
AAS,330I ASIAN DIAS ON INDIGENOUS LANDS,32775,Upper,MW,11:30 a.m.-1:00 p.m.,,"MEI-SINGH, LAUREL",,,
AAS,335 ASIAN AMER HEALTH/EQUITY,32779,Upper,W,2:00 p.m.-5:00 p.m.,BIO 301,"TAO-FOSTER, AMY LAN",Cultural Diversity,,
AAS,377 CAPSTONE SEMINAR,32780,Upper,,,,,Independent Inquiry,,
ACC,310F FOUNDATIONS OF ACCOUNTING,02320,Lower,TTH,11:00 a.m.-12:30 p.m.,UTC 3.134,"VERDUZCO, DAVID B",Quantitative Reasoning,,
ACC,310F FOUNDATIONS OF ACCOUNTING-WB,02325,Lower,,,,"VERDUZCO, DAVID B",Quantitative Reasoning,,
ACC,311 FUNDAMENTALS OF FINANCIAL ACC,02330,Lower,MW,8:00 a.m.-9:30 a.m.,UTC 1.102,"BROWN, TAYLOR S",Quantitative Reasoning,,
ACC,311 FUNDAMENTALS OF FINANCIAL ACC,02335,Lower,MW,9:30 a.m.-11:00 a.m.,UTC 1.102,"BADOLATO, PATRICK G",Quantitative Reasoning,,
ACC,311 FUNDAMENTALS OF FINANCIAL ACC,02340,Lower,MW,11:00 a.m.-12:30 p.m.,UTC 1.102,"BADOLATO, PATRICK G",Quantitative Reasoning,,
ACC,311 FUNDAMENTALS OF FINANCIAL ACC,02345,Lower,TTH,11:00 a.m.-12:30 p.m.,UTC 4.124,"FANNIN, DANIEL PAUL CLARK",Quantitative Reasoning,,
ACC,311 FUNDAMENTALS OF FINANCIAL ACC,02350,Lower,TTH,12:30 p.m.-2:00 p.m.,UTC 1.146,"FANNIN, DANIEL PAUL CLARK",Quantitative Reasoning,,
ACC,312 FUNDAMENTALS OF MANAGERIAL ACC,02355,Lower,MW,8:00 a.m.-9:30 a.m.,UTC 1.130,"FANNIN, DANIEL PAUL CLARK",Quantitative Reasoning,,
ACC,312 FUNDAMENTALS OF MANAGERIAL ACC,02360,Lower,MW,8:00 a.m.-9:30 a.m.,UTC 3.134,"SMITH, STEPHEN T",Quantitative Reasoning,,
ACC,312 FUNDAMENTALS OF MANAGERIAL ACC,02365,Lower,MW,9:30 a.m.-11:00 a.m.,UTC 1.130,"FANNIN, DANIEL PAUL CLARK",Quantitative Reasoning,,
ACC,312 FUNDAMENTALS OF MANAGERIAL ACC,02370,Lower,MW,9:30 a.m.-11:00 a.m.,UTC 3.134,"SMITH, STEPHEN T",Quantitative Reasoning,,
ACC,312 FUNDAMENTALS OF MANAGERIAL ACC,02375,Lower,TTH,9:30 a.m.-11:00 a.m.,GSB 3.128,"SIDDIQUI, SAAD M",Quantitative Reasoning,,
ACC,312 FUNDAMENTALS OF MANAGERIAL ACC,02380,Lower,MW,11:00 a.m.-12:30 p.m.,UTC 1.130,"FANNIN, DANIEL PAUL CLARK",Quantitative Reasoning,,
ACC,312 FUNDAMENTALS OF MANAGERIAL ACC,02385,Lower,MW,11:00 a.m.-12:30 p.m.,UTC 3.134,"SMITH, STEPHEN T",Quantitative Reasoning,,
ACC,312 FUNDAMENTALS OF MANAGERIAL ACC,02390,Lower,MW,11:00 a.m.-12:30 p.m.,UTC 4.132,"EDWARDS, LEIGH",Quantitative Reasoning,,
ACC,312 FUNDAMENTALS OF MANAGERIAL ACC,02395,Lower,TTH,11:00 a.m.-12:30 p.m.,GSB 2.122,"JOHNSTON-BLAIR, DONNA",Quantitative Reasoning,,
ACC,312 FUNDAMENTALS OF MANAGERIAL ACC,02400,Lower,TTH,11:00 a.m.-12:30 p.m.,GSB 3.128,"SIDDIQUI, SAAD M",Quantitative Reasoning,,
ACC,312 FUNDAMENTALS OF MANAGERIAL ACC,02405,Lower,MW,12:30 p.m.-2:00 p.m.,UTC 4.132,"EDWARDS, LEIGH",Quantitative Reasoning,,
ACC,312 FUNDAMENTALS OF MANAGERIAL ACC,02410,Lower,TTH,12:30 p.m.-2:00 p.m.,UTC 4.124,"ALLEN, MEGAN E",Quantitative Reasoning,,
ACC,312 FUNDAMENTALS OF MANAGERIAL ACC,02415,Lower,TTH,2:00 p.m.-3:30 p.m.,UTC 4.124,"ALLEN, MEGAN E",Quantitative Reasoning,,
ACC,312 FUNDAMENTALS OF MANAGERIAL ACC,02420,Lower,MW,3:30 p.m.-5:00 p.m.,UTC 1.130,"HENRY, BYRON KEITH",Quantitative Reasoning,,
ACC,312 FUNDAMENTALS OF MANAGERIAL ACC,02424,Lower,MW,12:30 p.m.-2:00 p.m.,SZB 1.510,"HENRY, BYRON KEITH",Quantitative Reasoning,,
ACC,312H FUNDMNTL MANAGERL ACC: HON,02425,Lower,MW,9:30 a.m.-11:00 a.m.,CBA 4.344,"CHAN, ERIC",Quantitative Reasoning,,
ACC,312H FUNDMNTL MANAGERL ACC: HON,02430,Lower,MW,11:00 a.m.-12:30 p.m.,CBA 4.344,"CHAN, ERIC",Quantitative Reasoning,,
ACC,312H FUNDMNTL MANAGERL ACC: HON,02435,Lower,MW,12:30 p.m.-2:00 p.m.,CBA 4.344,"CHAN, ERIC",Quantitative Reasoning,,
ACC,312H FUNDMNTL MANAGERL ACC: HON,02440,Lower,MW,2:00 p.m.-3:30 p.m.,CBA 5.328,"ROY BARDHAN, ANINDITA",Quantitative Reasoning,,
ACC,312H FUNDMNTL MANAGERL ACC: HON,02445,Lower,MW,3:30 p.m.-5:00 p.m.,CBA 5.328,"ROY BARDHAN, ANINDITA",Quantitative Reasoning,,
ACC,326 FINANCIAL ACC-INTERMEDIATE,02450,Upper,MW,9:30 a.m.-11:00 a.m.,UTC 1.144,"LYMAN, RACHEL BRACKEN",,,
ACC,326 FINANCIAL ACC-INTERMEDIATE,02455,Upper,MW,11:00 a.m.-12:30 p.m.,UTC 3.132,"LYMAN, RACHEL BRACKEN",,,
ACC,326 FINANCIAL ACC-INTERMEDIATE,02460,Upper,MW,12:30 p.m.-2:00 p.m.,UTC 1.104,"BONYUET, DERRICK",,,
ACC,326 FINANCIAL ACC-INTERMEDIATE,02465,Upper,TTH,12:30 p.m.-2:00 p.m.,UTC 1.104,"WHITAKER, BRETT J",,,
ACC,326 FINANCIAL ACC-INTERMEDIATE,02470,Upper,MW,2:00 p.m.-3:30 p.m.,UTC 1.104,"BONYUET, DERRICK",,,
ACC,326 FINANCIAL ACC-INTERMEDIATE,02475,Upper,TTH,2:00 p.m.-3:30 p.m.,UTC 1.104,"WHITAKER, BRETT J",,,
ACC,326 FINANCIAL ACC-INTERMEDIATE,02480,Upper,MW,3:30 p.m.-5:00 p.m.,UTC 1.104,"BONYUET, DERRICK",,,
ACC,327 FINANCIAL STATEMENT ANALYSIS,02485,Upper,TTH,9:30 a.m.-11:00 a.m.,CBA 4.332,"BADOLATO, PATRICK G",Quantitative Reasoning,,
ACC,327 FINANCIAL STATEMENT ANALYSIS,02490,Upper,TTH,11:00 a.m.-12:30 p.m.,CBA 4.332,"BADOLATO, PATRICK G",Quantitative Reasoning,,
ACC,329 MANAGERIAL ACC AND CONTROL,02495,Upper,MW,9:30 a.m.-11:00 a.m.,CBA 4.332,"ZHENG, RONGHUO",,,
ACC,329 MANAGERIAL ACC AND CONTROL,02500,Upper,MW,11:00 a.m.-12:30 p.m.,CBA 4.332,"ZHENG, RONGHUO",,,
ACC,329 MANAGERIAL ACC AND CONTROL,02505,Upper,MW,12:30 p.m.-2:00 p.m.,CBA 4.332,"ZHENG, RONGHUO",,,
ACC,334M HEALTHCARE ACCOUNTING,02510,Upper,MW,11:00 a.m.-12:30 p.m.,CBA 4.330,"ROY BARDHAN, ANINDITA",,,
ACC,152 MPA DISTINGUISHED SPKR LYCEUM,02515,Upper,,,,"ZVINAKIS, KRISTINA",,,
ACC,355 INTRODUCTION TO TAXATION,02520,Upper,MW,12:30 p.m.-2:00 p.m.,CBA 4.330,"VENKAT, ARUHN",,,
ACC,355 INTRODUCTION TO TAXATION,02525,Upper,MW,2:00 p.m.-3:30 p.m.,CBA 4.330,"VENKAT, ARUHN",,,
ACC,358C AUDITING AND ASSURANCE SERVS,02530,Upper,MW,8:00 a.m.-9:30 a.m.,CBA 4.330,"BRADSHAW, MARK L",,,
ACC,358C AUDITING AND ASSURANCE SERVS,02535,Upper,MW,9:30 a.m.-11:00 a.m.,CBA 5.328,"KOWALESKI, ZACH",,,
ACC,358C AUDITING AND ASSURANCE SERVS,02540,Upper,MW,12:30 p.m.-2:00 p.m.,CBA 4.324,"KOWALESKI, ZACH",,,
ACC,358C AUDITING AND ASSURANCE SERVS,02545,Upper,MW,2:00 p.m.-3:30 p.m.,CBA 4.324,"KOWALESKI, ZACH",,,
ACC,359 MANAGERIAL/COST ACCOUNTING,02550,Upper,MW,9:30 a.m.-11:00 a.m.,CBA 4.332,"ZHENG, RONGHUO",,,
ACC,359 MANAGERIAL/COST ACCOUNTING,02555,Upper,MW,11:00 a.m.-12:30 p.m.,CBA 4.332,"ZHENG, RONGHUO",,,
ACC,359 MANAGERIAL/COST ACCOUNTING,02560,Upper,MW,12:30 p.m.-2:00 p.m.,CBA 4.332,"ZHENG, RONGHUO",,,
ACC,362 AUDITING AND CONTROL,02565,Upper,MW,9:30 a.m.-11:00 a.m.,CBA 4.330,"BRADSHAW, MARK L",,,
ACC,364 FUNDAMENTALS OF TAXATION,02570,Upper,MW,3:30 p.m.-5:00 p.m.,CBA 4.348,"VENKAT, ARUHN",,,
ACC,366P ACCOUNTING PRACTICUM,02575,Upper,M,3:30 p.m.-5:30 p.m.,GSB 3.106,"JOHNSTON-BLAIR, DONNA",,,
ACC,366P ACCOUNTING PRACTICUM,02580,Upper,T,3:30 p.m.-5:30 p.m.,UTC 4.110,"ALLEN, MEGAN E",,,
ACC,366P ACCOUNTING PRACTICUM,02585,Upper,W,3:30 p.m.-5:30 p.m.,UTC 1.144,"ALLEN, MEGAN E",,,
ACC,372T INTERNAL AUDITING PRACTICUM,02590,Upper,M,11:00 a.m.-2:00 p.m.,RRH 3.310,"GOODSON, STEPHEN G",,,
ACC,372T INTERNAL AUDITING PRACTICUM,02595,Upper,M,3:30 p.m.-6:30 p.m.,GSB 2.120,"GOODSON, STEPHEN G",,,
ACC,372T 11-FINCL PLANNING WEALTH MGMT,02600,Upper,TTH,12:30 p.m.-2:00 p.m.,GSB 5.142A,"HOLBROOK, TERRI",,,
ACC,372T 11-FINCL PLANNING WEALTH MGMT,02605,Upper,TTH,2:00 p.m.-3:30 p.m.,GSB 5.142A,"HOLBROOK, TERRI",,,
ACC,372T 11-FINCL PLANNING WEALTH MGMT,02610,Upper,TTH,3:30 p.m.-5:00 p.m.,GSB 5.142A,"HOLBROOK, TERRI",,,
ACC,379C INDEPENDENT RSCH ACCOUNTING,02615,Upper,,,,,,,
ADV,303 ADVERTISING/POPULAR CULTURE,07430,Lower,MWF,9:00 a.m.-10:00 a.m.,CMA 3.124,"SHAH, MANSI",,,
ADV,305 FUNDAMENTALS OF ADVERTISING,07435,Lower,TTH,11:00 a.m.-12:30 p.m.,CMA 3.114,"WILCOX, GARY B",,,
ADV,305S INTEGRATED COMM FOR SPORTS,07440,Lower,MW,12:00 p.m.-1:00 p.m.,DMC 2.106,"DALTHORP, JAMES A",,,
ADV,309R INTRO TO ADV/PUBL RELS RSCH,07445,Lower,MWF,12:00 p.m.-1:00 p.m.,DMC 1.202,"EASTIN, MATTHEW S",Quantitative Reasoning,Mathematics,
ADV,309R INTRO TO ADV/PUBL RELS RSCH,07450,Lower,TTH,2:00 p.m.-3:30 p.m.,CMB 2.102,"OH, JEEYUN",Quantitative Reasoning,Mathematics,
ADV,309R INTRO TO ADVR/P R RSCH-WB,07455,Lower,,,,"EASTIN, MATTHEW S",Quantitative Reasoning,Mathematics,
ADV,315 HISTORY & DEVEL OF ADV-WB,07460,Lower,,,,"ATKINSON, LUCY",,,
ADV,315 HISTORY & DEVEL OF ADVERTISING,07465,Lower,MWF,10:00 a.m.-11:00 a.m.,CMA 3.124,"ACAF, YARA",,,
ADV,316 CREATIVITY/AMERICAN CULTURE,07470,Lower,MWF,1:00 p.m.-2:00 p.m.,ETC 2.114,"KHOO, GUAN SOON",,,
ADV,318J INTRO ADV/INTEG BRAND COMM-WB,07475,Lower,,,,"DUDO, ANTHONY DAVID",,,
ADV,318J INTRO INTEGRTD BRAND COMM-WB,07479,Lower,,,,"DUDO, ANTHONY DAVID",,,
ADV,318J INTRO TO INTEGRTD BRAND COMM,07480,Lower,MWF,2:00 p.m.-3:00 p.m.,DMC 2.106,"DOBIAS, LISA Z",,,
ADV,319 PSYCHOLOGY OF ADVERTISING,07485,Lower,MWF,9:00 a.m.-10:00 a.m.,DMC 4.212,"PARK, JEE YUN",,Social and Behavioral Sciences,
ADV,319 PSYCHOLOGY OF ADVERTISING-WB,07490,Lower,,,,"KAHLOR, LEE ANN",,Social and Behavioral Sciences,
ADV,320 INTEG COMM FOR NONPROF ORGS,07495,Upper,TTH,9:30 a.m.-11:00 a.m.,DMC 4.206,"DRUMWRIGHT, MINETTE E",,,
ADV,322 HLTH COMM: MSSGS/CMPGNS/MED,07500,Upper,TTH,3:30 p.m.-5:00 p.m.,DMC 4.204,"MACKERT, MICHAEL S",,,
ADV,323 PUBLIC COMM OF SCI/TECH-WB,07505,Upper,,,,"DUDO, ANTHONY DAVID",,,
ADV,324 COMMUNICATING SUSTAINABILITY,07510,Upper,TTH,5:00 p.m.-6:30 p.m.,CMB 2.102,"ATKINSON, LUCY",Independent Inquiry Ethics,,
ADV,325 INTRO TO ADVERTISING CREATVTY,07513,Upper,MW,3:00 p.m.-4:00 p.m.,CMA 2.306,"GRIFFIN, GLENN",,,
ADV,325 INTRO TO ADVERTISING CREATVTY,07514,Upper,MW,3:00 p.m.-4:00 p.m.,CMA 2.306,"GRIFFIN, GLENN",,,
ADV,325 INTRO TO ADVERTISING CREATVTY,07515,Upper,MW,3:00 p.m.-4:00 p.m.,CMA 2.306,"GRIFFIN, GLENN",,,
ADV,325 INTRO TO ADVERTISING CREATVTY,07516,Upper,MW,3:00 p.m.-4:00 p.m.,CMA 2.306,"GRIFFIN, GLENN",,,
ADV,325 INTRO TO ADVERTISING CREATVTY,07517,Upper,MW,3:00 p.m.-4:00 p.m.,CMA 2.306,"GRIFFIN, GLENN",,,
ADV,325 INTRO TO ADVERTISING CREATVTY,07518,Upper,MW,3:00 p.m.-4:00 p.m.,CMA 2.306,"GRIFFIN, GLENN",,,
ADV,325 INTRO TO ADVERTISING CREATVTY,07519,Upper,MW,3:00 p.m.-4:00 p.m.,CMA 2.306,"GRIFFIN, GLENN",,,
ADV,327 ACCOUNT PLANNING,07520,Upper,W,5:00 p.m.-8:00 p.m.,DMC 5.214,"DUNN, KELLYN K",,,
ADV,332 TECHNOLOGY MARKETING/ADV-WB,07525,Upper,,,,"BUNTING, JAMES MARTIN",,,
ADV,332C NEW MEDIA ENTREPRNRLSM-WB,07530,Upper,,,,"BUNTING, JAMES MARTIN",,,
ADV,332D ENTREPRENEURIALISM IN COMM,07535,Upper,,,,"BUNTING, JAMES MARTIN",,,
ADV,334 INTERNATIONAL ADVERTISING,07540,Upper,TTH,8:00 a.m.-9:30 a.m.,DMC 3.206,"KANO-GALVAN, OCTAVIO",Global Cultures,,
ADV,336 MULTICUL MSGS/AUDIENCES,07545,Upper,TTH,3:30 p.m.-5:00 p.m.,DMC 4.212,"KEMP, DEENA",Cultural Diversity,,
ADV,338L COPYWRITING,07550,Upper,TTH,9:30 a.m.-11:00 a.m.,CMA 3.116,"MCCUTCHIN, MATTHEW P",,,
ADV,339K DIGITAL GRAPHIC COMM,07555,Upper,MWF,2:00 p.m.-3:00 p.m.,CMA 2.306,"RAO, ROHITASH",,,
ADV,339K DIGITAL GRAPHIC COMM-WB,07560,Upper,TTH,3:30 p.m.-5:00 p.m.,,"UPSHAW, SEAN J",,,
ADV,339L BRAND STORYTELLING,07565,Upper,MWF,11:00 a.m.-12:00 p.m.,CMA 2.306,"ROSSMANN, STEVEN",,,
ADV,339L BRAND STORYTELLING,07569,Upper,TTH,2:00 p.m.-3:30 p.m.,WAG 101,"MCCUTCHIN, MATTHEW P",,,
ADV,344K ADVRT/PUBL RELATN RESEARCH,07570,Upper,TTH,11:00 a.m.-12:30 p.m.,DMC 2.106,"KAHLOR, LEE ANN",Quantitative Reasoning,,
ADV,345J ADV/PUBL REL MEDIA PLANNING,07575,Upper,TTH,2:00 p.m.-3:30 p.m.,DMC 1.202,"ANDREWS, THERESA A",Writing Quantitative Reasoning,,
ADV,345J ADV/PUBL REL MEDIA PLANNING,07580,Upper,MWF,11:00 a.m.-12:00 p.m.,DMC 2.106,"DOBIAS, LISA Z",Writing Quantitative Reasoning,,
ADV,447C ART DIRECTION,07585,Upper,MWF,4:00 p.m.-5:00 p.m.,DMC 5.214,"RAO, ROHITASH",,,
ADV,348S THE BUSINESS OF SPORTS MEDIA,07590,Upper,TH,5:00 p.m.-8:00 p.m.,CMB 2.102,"PANNES, MARK STEPHEN",,,
ADV,350 ADVERTISING INTERNSHIP,07595,Upper,T,5:00 p.m.-6:30 p.m.,DMC 2.106,"CUNNINGHAM, ISABELLA C",,,
ADV,350 ADVERTISING INTERNSHIP-UTNY,07599,Upper,,,,"CUNNINGHAM, ISABELLA C",,,
ADV,650 ADVERTISING INTERNSHIP-UTNY,07600,Upper,,,,"CUNNINGHAM, ISABELLA C",,,
ADV,353 ADV/PUBLIC RELS LAW/ETHICS,07605,Upper,TTH,3:30 p.m.-5:00 p.m.,CMB 2.102,"POUNDERS, KATHRYNN",Ethics,,
ADV,353 ADV/PUBLIC RELS LAW/ETHICS,07610,Upper,TH,5:00 p.m.-6:30 p.m.,DMC 2.106,"CISZEK, ERICA",Ethics,,
ADV,353 ADV/PUBLIC RELS LAW/ETHICS,07614,Upper,MWF,2:00 p.m.-3:00 p.m.,CMB 2.102,"GHOSH, CHARULATA",Ethics,,
ADV,364 IMMERSIVE EXPERIENCES,07615,Upper,T,5:00 p.m.-8:00 p.m.,CMA 6.170,"REILLY, ERIN",,,
ADV,365 AUDIENCE DEVEL/ENGAGEMENT,07620,Upper,TTH,9:30 a.m.-11:00 a.m.,DMC 4.206,"LAREDO, AZALEA",,,
ADV,367 EXPERIMENTAL STORYTELLING,07624,Upper,TTH,2:00 p.m.-3:30 p.m.,CMA 6.170,"RAO, ROHITASH",,,
ADV,468K PORTFOLIO II,07625,Upper,MW,5:00 p.m.-6:30 p.m.,DMC 4.212,"BOSILJEVAC, JAMES L",,,
ADV,468K PORTFOLIO II,07630,Upper,TTH,5:00 p.m.-6:30 p.m.,DMC 4.206,"MCCUTCHIN, MATTHEW P",,,
ADV,468L PORTFOLIO III,07635,Upper,TTH,3:30 p.m.-5:00 p.m.,DMC 4.206,"MCCUTCHIN, MATTHEW P",,,
ADV,468L PORTFOLIO III,07640,Upper,MW,6:30 p.m.-8:00 p.m.,DMC 4.206,"BOSILJEVAC, JAMES L",,,
AED,"351C ART MATLS, TECHNIQS, AND PROCS",20675,Upper,MW,11:00 a.m.-2:00 p.m.,ART 3.408,"BAIN, CHRISTINA",,,
AED,"372 ART, RESILIENCE, AND TRAUMA",20680,Upper,TH,11:00 a.m.-2:00 p.m.,ART 3.408,"STIENECKER, DAWN",,,
AET,310 FNDTNS OF CREATIVE CODING-WB,21510,Lower,MW,9:30 a.m.-11:00 a.m.,,"FREEMAN, ERIC T",Quantitative Reasoning,,
AET,314 SOUND AND SPACE,21511,Lower,TTH,11:00 a.m.-12:30 p.m.,WIN 1.102,"SMITH, MATTHEW RAY",,,
AET,313 CODE AND FABRICATION,21512,Lower,TTH,12:30 p.m.-2:00 p.m.,DFA 3.218,"PARKS, SYDNEY",,,
AET,312 GAMES AND INTERACTIVITY,21513,Lower,MW,2:00 p.m.-3:30 p.m.,DFA 3.218,"AUGUSTIN, ANDREW Y",,,
AET,311 MEDIA AND MOTION,21514,Lower,MW,11:00 a.m.-12:30 p.m.,DFA 3.218,"BYRNE, WILLIAM M",,,
AET,323G GENERATIVE AUDIO PROGRAMMING,21507,Upper,TTH,2:00 p.m.-3:30 p.m.,MRH 3.124,"OZLEY, CHRISTOPHER J",,,
AET,321C AUDIO PROCESSING,21508,Upper,TTH,11:00 a.m.-12:30 p.m.,MRH 3.124,"OZLEY, CHRISTOPHER J",,,
AET,324 THEMED ENTERTAINMENT DESIGN,21509,Upper,TTH,12:30 p.m.-2:00 p.m.,DFA 4.112,"HALEY, MK",,,
AET,324D PRINCIPLES OF ANIMATION,21515,Upper,W,3:30 p.m.-6:30 p.m.,DFA 3.218,"DIMICK, LUCAS",,,
AET,324P ADVANCED PRODUCTION LABORATORY,21520,Upper,MWF,9:00 a.m.-12:00 p.m.,WIN 1.320,"MAZIQUE, EARNEST",,,
AET,330T SCENE PAINT ENVIRONMENTAL REND,21521,Upper,TTH,2:00 p.m.-5:00 p.m.,PAC 2.206,"MANESS, KAREN L",,,
AET,330T CRITICAL THEORY FOR CONTENT,21522,Upper,TTH,3:30 p.m.-5:00 p.m.,DFA 4.106,"MURRAY, SHANNON",,,
AET,330T RESILIENT URBAN FUTURES,21523,Upper,T,2:00 p.m.-5:00 p.m.,DFA 4.112,"BAKER, MICHAEL",,,
AET,330T IMMERSIVE ART INSTALLATIONS,21524,Upper,TH,9:30 a.m.-12:30 p.m.,DFA 4.126,"PARKS, SYDNEY",,,
AET,330T TRNSMEDIA: EXPANDED MEDIA II,21525,Upper,TTH,2:00 p.m.-5:00 p.m.,ART 3.202,"LUCAS, KRISTIN",Independent Inquiry,,
AET,330T WORLDBUILDING/STORYCRAFTING,21527,Upper,TTH,3:30 p.m.-5:00 p.m.,CAL 200,"ROBERTS, ERIN",Writing,,
AET,333 MOBILE GAME DESIGN,21528,Upper,MW,12:30 p.m.-2:00 p.m.,DFA 4.112,"KICE, EVAN J",,,
AET,330T TYPOGRAPHY AND GAMES,21529,Upper,TH,2:00 p.m.-5:00 p.m.,DFA 4.112,"CONTOUR, JESSIE",,,
AET,334C LEVEL DESIGN,21530,Upper,MW,12:30 p.m.-2:00 p.m.,DFA 3.218,"AUGUSTIN, ANDREW Y",,,
AET,334E VIDEO GAME ART PIPELINE,21535,Upper,MW,9:30 a.m.-11:00 a.m.,DFA 3.218,"BYRNE, WILLIAM M",,,
AET,334K VIDEO GAME PROTOTYPING,21539,Upper,TTH,11:00 a.m.-12:30 p.m.,DFA 3.218,"KICE, EVAN J",,,
AET,334R TECHNICAL ART I,21540,Upper,M,6:30 p.m.-9:30 p.m.,DFA 3.218,"OSTER, ISAAC M",,,
AET,337D NARRATIVE DESIGN,21545,Upper,MW,11:00 a.m.-12:30 p.m.,DFA 4.106,"COHEN, DAVID DS",,,
AET,337N INTRODUCTION TO NARRATIVE,21550,Upper,TTH,12:30 p.m.-2:00 p.m.,DFA 4.106,"MURRAY, SHANNON",Writing,,
AET,337N INTRODUCTION TO NARRATIVE,21555,Upper,TTH,11:00 a.m.-12:30 p.m.,DFA 4.106,"MURRAY, SHANNON",Writing,,
AET,339 ADVANCED GAME AUDIO,21559,Upper,MW,11:00 a.m.-12:30 p.m.,MRH 3.124,"LIPMAN, SAMUEL M",,,
AET,339 ADVANCED SCENIC ART,21560,Upper,TTH,2:00 p.m.-3:30 p.m.,PAC 2.206,"MANESS, KAREN L",,,
AET,339 AI IN MUSIC AND SOUND,21564,Upper,MW,12:30 p.m.-2:00 p.m.,MRH 3.124,"LIPMAN, SAMUEL M",,,
AET,339 BUSINESS OF ENTERTAINMENT,21565,Upper,M,5:00 p.m.-8:00 p.m.,RLP 1.104,"DAVISON, NATALIE A",Independent Inquiry,,
AET,339 DIY SYNTHESIZERS,21568,Upper,TTH,12:30 p.m.-2:00 p.m.,PAC 3.204,"EVANS, KYLE ELLIS",,,
AET,339 COLOR LITERACY,21569,Upper,T,9:30 a.m.-12:30 p.m.,DFA 4.112,"STARBUCK, HONORIA K",,,
AET,339 DRAWING FOR DESIGNERS,21570,Upper,F,9:00 a.m.-12:00 p.m.,WIN 1.164,"BUCHANAN, JASON B",,,
AET,339 INTERACTIVE ANIMATION,21573,Upper,MW,2:00 p.m.-3:30 p.m.,DFA 4.106,"DIMICK, LUCAS",,,
AET,339 HUMOR IN STORYTELLING,21574,Upper,W,2:00 p.m.-5:00 p.m.,DFA 4.112,"LANINA, YULIYA",,,
AET,339 MEDIA DESIGN AND TECHNOLOGY,21575,Upper,M,2:00 p.m.-5:00 p.m.,PAC 3.204,"FREER, KATE",,,
AET,342C 3D MODELING AND TEXTURING,21580,Upper,W,6:30 p.m.-9:30 p.m.,DFA 3.218,"OSTER, ISAAC M",,,
AET,358 IMMERSIVE ENVIRONMENTS,21581,Upper,TTH,12:30 p.m.-2:00 p.m.,DFA 4.126,"EVANS, KYLE ELLIS",,,
AET,353 2D ANIMATION,21582,Upper,MW,5:00 p.m.-6:30 p.m.,CMA 4.148,"MYERS, ROLAND L",Independent Inquiry,,
AET,357 SOLO STUDIO,21583,Upper,TTH,2:00 p.m.-3:30 p.m.,DFA 4.126,"EVANS, KYLE ELLIS",Independent Inquiry,,
AET,346C VIDEO GAME MODDING,21584,Upper,MW,9:30 a.m.-11:00 a.m.,DFA 4.112,"SBROGNA, CHIP",,,
AET,348K 3D PROJECTION MAPPING,21585,Upper,TTH,9:30 a.m.-11:00 a.m.,PAC 3.204,"SMITH, MATTHEW RAY",,,
AET,358 2-COLLABORATIVE MUSIC PROJECT,21586,Upper,TTH,12:30 p.m.-2:00 p.m.,MRH 3.124,"OZLEY, CHRISTOPHER J",,,
AET,358 LIVE EVENT PRODUCTION,21587,Upper,TTH,5:00 p.m.-6:30 p.m.,DFA 4.112,"HALEY, MK",,,
AET,358 GAMES FOR GOOD,21588,Upper,MW,12:30 p.m.-2:00 p.m.,DFA 4.126,"COHEN, DAVID DS",,,
AET,353 2D ANIMATION FOR GAMES,21589,Upper,M,3:30 p.m.-6:30 p.m.,DFA 3.218,"AUGUSTIN, ANDREW Y",,,
AFR,302M NUMBERING RACE,31135,Lower,M,2:00 p.m.-5:00 p.m.,RLP 1.402,"IBEKWE-OKAFOR, NNEKA R",Quantitative Reasoning,Mathematics,
AFR,302M NUMBERING RACE,31140,Lower,W,3:00 p.m.-6:00 p.m.,RLP 1.402,"LOWE, RICARDO H JR",Quantitative Reasoning,Mathematics,
AFR,303 INTRO TO BLACK STUDIES-WB,31145,Lower,,,,"GORDON-GARTH, ISHAN E",Global Cultures Cultural Diversity Ethics,Social and Behavioral Sciences,
