Class Number,Class Name,Unique Number,Division,Days,Time,Location,Instructor,Flags,Core,Description
R S,361 INDIAN PHILOSOPHIES,42915,Upper,TTH,2:00 p.m.-3:30 p.m.,MEZ B0.302,"CUNEO, DANIELE",Global Cultures,,
R S,368C WHEN CHRIST WAS KING,42920,Upper,M,2:00 p.m.-5:00 p.m.,,"BUTLER, MATTHEW J",Independent Inquiry,,
R S,373M BIOMEDICINE/ETHICS/CULTURE,42924,Upper,MWF,9:00 a.m.-10:00 a.m.,BUR 220,"SUMMERS, SARAH",Writing Cultural Diversity Ethics,,
R S,"375S 11-SPACE, TIME, AND RELIGION",42925,Upper,M,2:00 p.m.-5:00 p.m.,BUR 228,"SCHOFER, JONATHAN WYN",Writing Independent Inquiry,,
R S,375S 12-DEATH/AFTERLIFE ANCT CHINA,42930,Upper,MW,2:30 p.m.-4:00 p.m.,MEZ 1.122,"WARING, LUKE CHRISTOPHER",Global Cultures Writing Independent Inquiry,,
R S,679HB HONORS TUTORIAL COURSE,42935,Upper,,,,,Independent Inquiry Writing,,
RBT,350 GATEWAY TO ROBOTICS,47905,Upper,TTH,9:30 a.m.-11:00 a.m.,GAR 2.112,"PRYOR, MITCHELL W",,,
REE,301L INTRO TO RUSSIAN LITERATURE,43490,Lower,TTH,12:30 p.m.-2:00 p.m.,PAR 206,"LIVERS, KEITH A",Writing Global Cultures,,
REE,325 29-BULGAKOV'S MASTER/MARGARITA,43495,Upper,MW,1:00 p.m.-2:30 p.m.,WAG 420,"GARZA, THOMAS JESUS",Global Cultures,,
REE,325 36-WMN/RESISTNC CONTEMP E EURO,43500,Upper,TTH,11:00 a.m.-12:30 p.m.,,"LUTSYSHYNA, OKSANA",Global Cultures Ethics Writing,,
REE,325 38-PUNKS/DIVAS IN SE EUROPE,43505,Upper,MW,1:00 p.m.-2:30 p.m.,BUR 216,"BERONJA, VLADISLAV",Writing Global Cultures,,
REE,335 TECH SOVRIGNTY/GLOBAL POWER,43509,Upper,TTH,2:00 p.m.-3:30 p.m.,GAR 2.128,"SHINGAREV, ANTON",Global Cultures,,
REE,335 6-HISTORY OF RUSSIA SINCE 1917,43510,Upper,TTH,12:30 p.m.-2:00 p.m.,SZB 2.802,"WYNN, CHARTERS S",Global Cultures,,
REE,335 23-JEWS OF EASTERN EUROPE,43514,Upper,MWF,11:00 a.m.-12:00 p.m.,WAG 420,"HEADRICK, ISABELLE SONIA",Global Cultures,,
REE,335 24-POLITICAL WARFARE/PROPAGNDA,43515,Upper,TTH,11:00 a.m.-12:30 p.m.,PAR 301,"AVRAMOV, KIRIL",Global Cultures,,
REE,335 27-REACTING/REVOLTN IDEAS:HON,43520,Upper,MW,11:30 a.m.-1:00 p.m.,RLP 2.606,"MAYHEW, LINDA",Global Cultures Writing,,
REE,335 39-COLD WAR EASTERN EUROPE,43525,Upper,TTH,9:30 a.m.-11:00 a.m.,PAR 101,"NEUBURGER, MARY C",Global Cultures Independent Inquiry Writing,,
REE,335 41-NATR/POLIT POST-COMM STATES,43530,Upper,TTH,9:30 a.m.-11:00 a.m.,,"UVSH, DELGERJARGAL",Global Cultures Writing,,
REE,345 10-POLITICS AND PERFORMANCE,43535,Upper,MW,11:30 a.m.-1:00 p.m.,RLP 1.108,"SIDORKINA, MARIA",Global Cultures Independent Inquiry,,
REE,345 12-SHAMANISM AND THE PRIMITIVE,43540,Upper,MWF,10:00 a.m.-11:00 a.m.,PAR 208,"ROBERTS, JASON EDWARD",Global Cultures Independent Inquiry,,
REE,345 13-POWER/RESIST PUTIN'S RUSSIA,43545,Upper,TTH,11:00 a.m.-12:30 p.m.,PAR 304,"SIDORKINA, MARIA",Global Cultures,,
REE,345 16-COMPARTV WHITE NATIONALISMS,43550,Upper,MW,1:00 p.m.-2:30 p.m.,PHR 2.116,"OHUERI, CHELSI WEST",Global Cultures,,
REE,379C CONFERENCE COURSE,43555,Upper,,,,,,,
REE,679HB HONORS TUTORIAL COURSE,43560,Upper,,,,,,,
RHE,306 RHETORIC AND WRITING,43075,Lower,TTH,9:30 a.m.-11:00 a.m.,BEN 1.108,"WINTERMEIER, TRENT JOHN",,English Composition,
RHE,306 RHETORIC AND WRITING,43080,Lower,TTH,8:00 a.m.-9:30 a.m.,PAR 210,"SHANAFELT, COLIN",,English Composition,
RHE,306 RHETORIC AND WRITING,43085,Lower,TTH,8:00 a.m.-9:30 a.m.,PAR 303,"GUTIERREZ, ANALISIA",,English Composition,
RHE,306 RHETORIC AND WRITING,43090,Lower,MW,8:30 a.m.-10:00 a.m.,FAC 9,"FARRELL, SARAH",,English Composition,
RHE,306 RHETORIC AND WRITING,43095,Lower,TTH,9:30 a.m.-11:00 a.m.,GDC 6.202,"MOSER, TYLER MALONE",,English Composition,
RHE,306 RHETORIC AND WRITING,43100,Lower,TTH,2:00 p.m.-3:30 p.m.,BEN 1.106,"EKSTROM, MEGAN LEAH",,English Composition,
RHE,306 RHETORIC AND WRITING,43105,Lower,TTH,9:30 a.m.-11:00 a.m.,MEZ B0.302,"WOJTUSIK, JENNIE DENISE",,English Composition,
RHE,306 RHETORIC AND WRITING,43110,Lower,TTH,12:30 p.m.-2:00 p.m.,BEN 1.104,"MURPHY, JACK CHRISTOPHER",,English Composition,
RHE,306 RHETORIC AND WRITING,43115,Lower,MW,10:00 a.m.-11:30 a.m.,FAC 9,"FARRELL, SARAH",,English Composition,
RHE,306 RHETORIC AND WRITING,43120,Lower,TTH,12:30 p.m.-2:00 p.m.,GDC 2.402,"HAWKINS, MAGGIE L",,English Composition,
RHE,306 RHETORIC AND WRITING,43125,Lower,MW,1:00 p.m.-2:30 p.m.,FAC 9,"BADGLEY, JASON",,English Composition,
RHE,306 RHETORIC AND WRITING,43130,Lower,MW,2:30 p.m.-4:00 p.m.,FAC 9,"BADGLEY, JASON",,English Composition,
RHE,306 RHETORIC AND WRITING,43135,Lower,MW,8:30 a.m.-10:00 a.m.,FAC 7,"BAINS, SAVNEET KAUR",,English Composition,
RHE,306 RHETORIC AND WRITING,43140,Lower,TTH,8:00 a.m.-9:30 a.m.,MEZ B0.302,"WOJTUSIK, JENNIE DENISE",,English Composition,
RHE,306 RHETORIC AND WRITING,43145,Lower,TTH,11:00 a.m.-12:30 p.m.,,,,English Composition,
RHE,306 RHETORIC AND WRITING,43150,Lower,MW,11:30 a.m.-1:00 p.m.,FAC 9,"FARRELL, SARAH",,English Composition,
RHE,306 RHETORIC AND WRITING,43155,Lower,MWF,12:00 p.m.-1:00 p.m.,FAC 7,"BADGLEY, JASON",,English Composition,
RHE,306 RHETORIC AND WRITING,43160,Lower,TTH,8:00 a.m.-9:30 a.m.,PAR 6,"BANUELOS, MIA FRANCIS",,English Composition,
RHE,306 RHETORIC AND WRITING,43165,Lower,TTH,9:30 a.m.-11:00 a.m.,PAR 104,"RUTLEDGE, THAIS",,English Composition,
RHE,306 RHETORIC AND WRITING,43170,Lower,TTH,12:30 p.m.-2:00 p.m.,CAL 200,"WOJTUSIK, JENNIE DENISE",,English Composition,
RHE,306 RHETORIC AND WRITING,43175,Lower,TTH,12:30 p.m.-2:00 p.m.,PAR 104,"SHANAFELT, COLIN",,English Composition,
RHE,306 RHETORIC AND WRITING,43180,Lower,TTH,12:30 p.m.-2:00 p.m.,PAR 210,"RUTLEDGE, THAIS",,English Composition,
RHE,306 RHETORIC AND WRITING,43185,Lower,MWF,12:00 p.m.-1:00 p.m.,PAR 310,"RODRIGUEZ, VIRGINIA MARIE",,English Composition,
RHE,306 RHETORIC AND WRITING,43190,Lower,TTH,11:00 a.m.-12:30 p.m.,JES A217A,"GARNER, JAKE ALEXANDER",,English Composition,
RHE,306 RHETORIC AND WRITING,43195,Lower,TTH,2:00 p.m.-3:30 p.m.,PAR 104,"HALFORD, HANNAH ALYSON",,English Composition,
RHE,306 RHETORIC AND WRITING,43200,Lower,TTH,2:00 p.m.-3:30 p.m.,PAR 310,"BLANCO, CLARICE",,English Composition,
RHE,306 RHETORIC AND WRITING,43205,Lower,TTH,2:00 p.m.-3:30 p.m.,PAR 6,"RUTLEDGE, THAIS",,English Composition,
RHE,306 RHETORIC AND WRITING,43210,Lower,TTH,8:00 a.m.-9:30 a.m.,PAR 310,"ZABALA FIGUEROA, ORLANDO",,English Composition,
RHE,306 RHETORIC AND WRITING,43215,Lower,TTH,3:30 p.m.-5:00 p.m.,FAC 9,"HUDROGE, ALIA SABINE",,English Composition,
RHE,306 RHETORIC AND WRITING,43220,Lower,TTH,3:30 p.m.-5:00 p.m.,,,,English Composition,
